1;1202015126;花;花;21
2;1202015147;花;花;38
3;1202015185;花;花;13
4;1202015198;花;おとと;18893
5;1202034091;おとと;しょーた;2219
6;1202036310;しょーた;しょーた;24
7;1202036334;しょーた;しょーた;15
8;1202036349;しょーた;お;2377
9;1202038726;お;お;24
10;1202038750;お;お;9
11;1202038759;お;おとと;3831
12;1202042590;おとと;kgw;321
13;1202042911;kgw;kgw;24
14;1202042935;kgw;kgw;24
15;1202042959;kgw;しょーた;907
16;1202043866;しょーた;しょーた;24
17;1202043890;しょーた;や;1608
18;1202045498;や;や;54
19;1202045552;や;や;48
20;1202045600;や;や;45
21;1202045645;や;や;13
22;1202045658;や;や;49
23;1202045707;や;や;46
24;1202045753;や;や;37
25;1202045790;や;はりー;1924
26;1202047714;はりー;はりー;21
27;1202047735;はりー;はりー;23
28;1202047758;はりー;はりー;33
29;1202047791;はりー;く;787
30;1202048578;く;kgw;4787
31;1202053365;kgw;kgw;2
32;1202053367;kgw;kgw;34
33;1202053401;kgw;kgw;58
34;1202053459;kgw;く;280
35;1202053739;く;はりー;995
36;1202054734;はりー;はりー;10
37;1202054744;はりー;はりー;14
38;1202054758;はりー;く;418
39;1202055176;く;く;63
40;1202055239;く;や;69
41;1202055308;や;く;108
42;1202055416;く;や;7
43;1202055423;や;や;61
44;1202055484;や;や;46
45;1202055530;や;や;45
46;1202055575;や;や;47
47;1202055622;や;く;375
48;1202055997;く;く;682
49;1202056679;く;kgw;2454
50;1202059133;kgw;kgw;759
51;1202059892;kgw;kgw;65
52;1202059957;kgw;kgw;22
53;1202059979;kgw;く;15777
54;1202075756;く;荒木;141
55;1202075897;荒木;荒木;29
56;1202075926;荒木;荒木;218
57;1202076144;荒木;荒木;6
58;1202076150;荒木;荒木;23
59;1202076173;荒木;しょーた;9183
60;1202085356;しょーた;しょーた;5
61;1202085361;しょーた;しょーた;11
62;1202085372;しょーた;kgwww;11971
63;1202097343;kgwww;kgwww;21
64;1202097364;kgwww;kgwww;463
65;1202097827;kgwww;T;162
66;1202097989;T;T;186
67;1202098175;T;T;17
68;1202098192;T;や;4719
69;1202102911;や;しょーた;3511
